area	reference_surface	qt_surface	status	acceptance_evidence
PLAN	GCSViews/FlightPlannerView.axaml	src/ui/FlightPlannerView.*;src/ui/MissionElevationDisplay.*;src/ui/MainWindow.*;src/ui/flightplanner/MissionElevationProfile.*;src/ui/flightplanner/FlightPlannerNavigation.*;src/ui/flightplanner/FlightPlannerRouteMetrics.*;src/ui/flightplanner/FlightPlannerMeasurement.*;src/ui/flightplanner/FlightPlannerViewModel.*;src/ui/flightplanner/FlightPlannerWaypointPanel.*;src/ui/flightplanner/FlightPlannerActionPanel.*;src/ui/flightplanner/WpRow.*;src/ui/flightplanner/FenceRallyModel.*;src/ui/flightplanner/FenceRallyFileCodec.*;src/ui/flightplanner/FenceRallyController.*;src/ui/flightplanner/QgcPlanFileCodec.*;src/ui/flightplanner/FlightPlannerPolygonModel.*;src/ui/configuration/ElevationSourceService.*;src/ui/configuration/SrtmElevationSource.*;src/comm/MissionItemProtocol.h;src/ui/map/AbstractMapWidget.*;src/ui/map/OPMapBackendWidget.*;src/ui/map/QGCMapWidget.*;src/ui/map/PlannerMeasurementOverlay.*;src/ui/QGCWaypointListMulti.*;files/styles/style-outdoor.css;tests/test_missionelevationprofile.cpp;tests/test_fencerallycontroller.cpp;tests/test_fencerallyfilecodec.cpp;tests/test_qgcplanfilecodec.cpp;tests/test_flightplannerpolygonmodel.cpp;tests/test_flightplannernavigation.cpp;tests/test_flightplannerroutemetrics.cpp;tests/test_flightplannermeasurement.cpp;tests/test_flightplannermissionmodel.cpp;tests/test_flightplannerviewmodel.cpp;tests/test_flightplannerwaypointpanel.cpp;tests/test_srtmelevationsource.cpp;tests/test_dockableview.cpp;tests/test_flightviews.cpp;tests/test_opmapwidget.cpp;tests/test_missionplannerstyle.cpp	in-progress	Mission editing, transfer, table and overlays are integrated in a deterministic fixed QSplitter layout with 4-pixel handles, a 168-pixel action column and a 210-pixel waypoint row; the current upstream DO_RETURN_PATH_START command 188 is named, selectable and location-aware despite the older vendored C dialect; upstream commit 08e16a658 behavior is ported with WPNAV_ACCEL/WPNAV_SPEED precedence, ArduPilot 4.7 WP_ACC (m/s²) and WP_SPD (m/s) fallbacks, corrected WP_RADIUS_M precedence, three-name radius writes after successful mission upload, acceptance-radius overlays and parameter-driven spline sampling; the MP10 WrapPanel contract now exposes persistent WP/loiter radius, default altitude/frame, Alt Warn, Spline, Verify Height, backend-neutral zoom and live Dist/Home/Prev summaries with the original control names, vehicle-specific radius visibility and transfer locking; independent altunits/distunits policies now keep all mission/radius/protocol values canonical SI while table headers, waypoint tooltips, radius editors and exact m|km versus ft|miles summaries switch live through CONFIG and typed QML properties; backend-neutral route geometry fills Grad/Angle/Dist/AZ, applies exact reciprocal-bearing/loiter semantics and blocks low-altitude upload; trusted terrain injection uses local GDAL GeoTIFF/DTED first, then a Mission Planner-compatible shared SRTM1/SRTM3 HGT cache with 1201/3601 big-endian bilinear sampling, background official-server fallback, bounded ZIP validation and atomic extraction for rounded Home AMSL plus Relative/Absolute/Terrain placement and drag correction; the current-mission Elevation Graph builds immutable canonical-SI Mission/HOME/DEM data through that shared source, supports all global altitude frames, missing-data gaps, independent display units, original curve/marker identities and live refresh in a modeless shutdown-safe window; typed MP-style Mission/Fence/Rally stores have validated MAVLink transfer, map rendering, atomic legacy .fen/.ral files and current QGC .plan round-trip with an exact apmPlanner extension; expanded QGC Survey/CorridorScan ComplexItems import their validated embedded MAVLink rows and reject missing expansions instead of silently dropping commands; drawn polygons support map editing, offset, .poly files, Survey boundaries and inclusion/exclusion fence conversion; the backend-neutral right-click menu now follows the original leading order and names for Delete WP, Insert Wp, Insert Spline WP, Loiter Forever/Time/Circles, Jump Start/WP #, RTL, Land, Takeoff, DO_SET_ROI and Clear Mission, with exact defaults and P1/P2 command parameters; Delete WP is enabled only for a directly hit marker and deletes its exact zero-based sequence, so empty-map context clicks cannot remove a nearby item; Map Tool → Measure Distance preserves the original two-click state, Mercator-axis haversine and initial-bearing formulas, m/ft presentation, red markers and temporary green line through the backend-neutral map contract; Fence-only Set Return Location removes every stale return point, appends one GLOBAL/alt-0 point at the clicked coordinate and round-trips through geoFence.breachReturn; Set Home, Reverse/Modify Alt and Elevation Graph remain available; the 40-level store-aware Undo/Ctrl+Z history restores the changed Mission/Fence store plus the prior active store, while structural edits transactionally remap DO_JUMP and all editing paths are locked during active transfers; Emerald styling and first-show geometry synchronization prevent an empty PLAN surface; Qt 5 build, 73-test suite, repeated graph-open window-close smoke tests and real-X11 PLAN/menu/dialog/elevation/measurement/delete-hit screenshots are verified, while MAVFTP transfer, geometry reconstruction for unexpanded QGC ComplexItems, direct map editing of existing fence/rally geometry, the speed-unit policy, remaining advanced map actions and automated MP10 screenshot diff remain
PLAN	Views/GridUIView.axaml	src/ui/flightplanner/SurveyGridGenerator.*;src/ui/flightplanner/SurveyMissionBuilder.*;src/ui/flightplanner/SurveyGridDialog.*;src/ui/flightplanner/FlightPlannerActionPanel.*;tests/test_surveygridgenerator.cpp;tests/test_surveymissionbuilder.cpp;tests/test_surveygriddialog.cpp	in-progress	Deterministic geometry covers convex/concave boundaries, bearing, spacing, two-sided overshoot and lead-in, six start positions, Mission Planner point tags, cross-grid generation, negative extension values and antimeridian handling; independent Lead-in 1/2 follow the original S/SM semantics and MP control names; the Qt dialog provides live boundary/grid preview and inserts validated navigation, takeoff/speed/heading/delay/spline, distance/digicam/servo trigger, split-flight and RTL/Land commands into the Mission store; altitude and takeoff editors follow live altunits while retaining exact canonical metres and intentionally fix original GridUI's erroneous distunits coupling; spacing, overshoot, lead-in and trigger fields remain explicitly metres like the current Mission Planner port; exact MP10 camera profiles and overlap-derived spacing/trigger calculations, minimum-lane controls, trigger-phase alignment and tiled-map preview remain
PLAN	Views/FaceMapView.axaml		not-started	Face-map planning and profile generation match
PLAN	Controls/FlightPlannerMap.cs	src/ui/map/AbstractMapWidget.*;src/ui/map/MapWidgetFactory.*;src/ui/map/OPMapBackendWidget.*;src/ui/map/QGCMapWidget.*;src/ui/map/PlannerMeasurementOverlay.*;libs/opmapcontrol/src/mapwidget/opmapwidget.*;tests/test_opmapwidget.cpp;tests/test_flightplannermeasurement.cpp;tests/test_mapwidgetfactory.cpp	in-progress	Waypoint/home, spline, acceptance-radius, typed fence/rally, drawn-polygon and measurement overlays are integrated with waypoint drag and map-click mission/polygon editing; PLAN/DATA/SIM and Log Analysis use a backend-neutral factory with persistent compiled-only selection, OPMapControl fallback, role-specific viewport settings and a runtime-validated shared PureImageCache root; every backend must implement display-only altitude presentation, and OPMap applies it live to existing and newly-created PLAN marker tooltips without mutating canonical waypoint metres or emitting edit signals; Map context hit-testing reports the exact planner sequence so empty-space Delete WP remains disabled; OPMap synchronizes scene geometry before first tile start, preserves world-wide low-zoom extents and does not accumulate show-time resize connections; direct vertex editing of existing fence/rally geometry, POI, advanced Mission Planner gestures and complete QtLocation adapter parity remain
PLAN	Controls/ImportedMapOverlayRenderer.cs		not-started	KML/KMZ/SHP/GeoJSON/raster overlay rendering and opacity match
PLAN	Controls/OverlapCoverageBuilder.cs		not-started	Camera coverage and overlap visualization match
PLAN	Services/OgcMapProvider.cs		not-started	WMS and WMTS configuration, capabilities and cache identity match
PLAN	Services/NativeGdalMapService.cs	src/ui/map/NativeGdalMapService.*;src/ui/configuration/ElevationSourceService.*;src/ui/map/MapTileSourceFactory.*;src/QGCCore.*;tests/test_maptilesourcefactory.cpp;tests/test_configelevationsourcesview.cpp	in-progress	Runtime-loaded GDAL C API opens GeoTIFF/DTED rasters, warps them to EPSG:3857, composites native map tiles with nodata/alpha handling, limits process-wide render concurrency and feeds GDAL Custom through the same OPMaps filesystem cache; real multi-raster fixtures, cross-platform GDAL runtimes and screenshot evidence remain
PLAN	Services/MapCacheManager.cs	libs/opmapcontrol/src/core/pureimagecache.*;src/ui/map/MapCacheManager.*;tests/test_tilecache.cpp;tests/test_mapcachemanager.cpp	partial	One filesystem-only shared Mission Planner cache layout, cache-only mode, provider/total statistics, locked scoped cleanup and atomic Z/row/column JPEG/PNG import with validation, progress and cancellation are implemented and tested; the unused SQLite/GMDB fallback and dual-write path were removed, and every map backend must expose this same cache root
PLAN	Views/MapCacheView.axaml	src/ui/map/MapCacheView.*;src/ui/map/MapTileSourceFactory.*;src/ui/map/MapPrefetchService.*;src/ui/flightplanner/FlightPlannerPrefetchController.*;src/ui/MainWindow.cc;tests/test_mapcacheview.cpp;tests/test_maptilesourcefactory.cpp;tests/test_mapprefetchservice.cpp	partial	Modeless Map Tile Cache window and Mission Planner-compatible visible-area/WP-path prefetch are integrated with the active backend's shared five-provider tile store, cleanup/import/progress/cancellation, dateline-safe area/path enumeration and live invalidation; remaining parity is broader provider/backend coverage
SETUP	GCSViews/SetupView.axaml	src/ui/configuration/SetupView.*;src/ui/BackstageView.*;tests/SetupRouteRuntimeAudit.*;tests/test_backstageview.cpp;docs/porting/SETUP_REFERENCE_INVENTORY.tsv	in-progress	Qt registers 46 concrete pages: 45 mapped MP10 routes plus useful QML Plugins, against 53 reference pages and the same three groups. The independent manifest enforces the eight-route missing allowlist, ordering, nonempty factories and real offline/profile/connect-disconnect visibility. Joystick and FFT remain usable; PX4Flow adds an offline peripheral image/focus page independent of autopilot readiness. Dynamic group arrows and late shared-action registration are retained. PX4Flow full Qt5/audio build and 221/221 tests pass; real X11 verifies live/focus images, confirmed mode changes, stale recovery and disconnect filtering; remaining absent pages, full vehicle/profile matrices and reference/native-platform visual evidence remain.
SETUP	GCSViews/Setup/InstallFirmwareView.axaml	src/ui/configuration/ApmCustomFirmwareConfig.*;src/ui/configuration/PX4FirmwareUploader.*	partial	The existing board/channel/download/upload surface now activates without waiting for the manifest, separates manifest and image replies, uses advancing-progress inactivity watchdogs, locks selection across download and upload, retains an immutable selected-device snapshot and stops network/uploader work on destruction; the 72 MB uncompressed manifest, GUI-thread parse, modern MP10 board presentation and hardware recovery evidence remain
SETUP	GCSViews/ConfigurationView/ConfigFirmwareLegacyView.axaml	src/ui/configuration/ApmCustomFirmwareConfig.*;src/ui/configuration/PX4FirmwareUploader.*	partial	Legacy/custom firmware selection and PX4/APJ upload remain available with guarded single-operation state and safe cancellation/teardown; exact MP10 layout, device coverage and live recovery evidence remain
SETUP	GCSViews/ConfigurationView/ConfigFrameClassTypeView.axaml	src/ui/configuration/ConfigFrameClassTypeView.*;src/ui/configuration/ConfigFrameClassTypeViewModel.*;src/ui/configuration/SetupView.*;tests/test_configframeclasstypeviewmodel.cpp;tests/test_configframeviews.cpp	in-progress	The native non-empty page is independent of firmware/parameter arrival order and exposes Refresh, the exact 14 MP10 frame classes, the Common.ValidList subtype table, dependent type combo, image/text preview and status. Snapshot hydration is exact-component and write-free; edits are disarmed-only, pinned to one immutable target and complete only through their owned result-aware batch. A class change retains a valid current subtype or sends class plus the first valid subtype in one ordered batch; partial terminal results clear the optimistic pair, disable edits and require a complete refreshed snapshot before edits resume. Unit/full-suite and isolated UDP production-route X11 evidence pass; automated production click/reset coverage, physical writes, reference screenshot diff and native-platform evidence remain
SETUP	GCSViews/ConfigurationView/ConfigFrameTypeView.axaml	src/ui/configuration/ConfigFrameTypeView.*;src/ui/configuration/ConfigFrameTypeViewModel.*;src/ui/configuration/SetupView.*;tests/test_configframetypeviewmodel.cpp;tests/test_configframeviews.cpp	in-progress	The separate Frame Type (Legacy) route keeps the useful FRAME workflow with the exact six MP10 radio values including V-Tail. It builds a non-empty unavailable state when FRAME is absent, hydrates without writing, blocks edits while armed and uses the same immutable exact-target and owned terminal-batch contract as the modern page. Unit/full-suite and isolated UDP production-route X11 evidence pass; physical legacy writes, reference screenshot diff and native-platform evidence remain
SETUP	GCSViews/ConfigurationView/ConfigAccelCalibrationView.axaml	src/ui/configuration/AccelCalibrationConfig.*	partial	All positions, progress, cancellation, level and temperature paths match
SETUP	GCSViews/ConfigurationView/ConfigCompassView.axaml	src/ui/configuration/ConfigCompassView.*;src/ui/configuration/ConfigCompassViewModel.*;src/comm/CompassCalibrationService.*;src/ui/configuration/SetupView.*;tests/test_configcompassviewmodel.cpp;tests/test_configcompassview.cpp;tests/test_compasscalibrationservice.cpp;src/services/OfflineMagFitService.*;src/services/OfflineMagFitApplyService.*;src/ui/OfflineMagFitWindow.*;tests/test_offlinemagfitservice.cpp;tests/test_offlinemagfitapplyservice.cpp;tests/test_offlinemagfitwindow.cpp;docs/porting/OFFLINE_MAGFIT_PORT.md	in-progress	The native non-empty route follows MP10 immediately after Accel Calibration and before Compass (Legacy). A complete exact-component snapshot drives the 11-column discovery/priority/missing table, preserves duplicate priority slots, filters discovery devices already present in priority, applies aliases and physical-slot external/orientation mapping, and exposes Use 1/2/3, Remove Missing, Learn, nine advanced fields, degree/radian declination and Pixhawk defaults. Every edit is disarmed-only and owned by one immutable target; priority writes are one exact three-parameter zero-filled batch, any submitted/partial priority outcome conservatively requires reboot plus full-snapshot reconciliation, and reboot-required clears only after the exact accepted command ACK. The application-owned calibration service pins link/system/component/generation, ACK-gates the exact MP10 Start/Accept/Cancel and fixed-yaw commands, quarantines pre-ACK/foreign/placeholder telemetry, waits for every compass in the stable mask, accepts only successful unsaved sensors, keeps lost-command outcomes poisoned, serializes recovery Cancel, stores reboot latches per exact endpoint and releases stale ownership for a new target generation. Long and stalled sessions warn without cancelling vehicle state. Real-X11 UDP smoke reached Running and 37% through the production route. Calibrate from Log now opens the shared modeless Offline MagFit window offline. BIN/LOG/TLOG sphere/ellipsoid analysis and separately confirmed exact-target apply are implemented; TLOG and unsupported compensation/frame provenance stay analysis-only. QAction rebinding, availability and actual production Developer/Compass reuse are tested; physical hardware, reference screenshot and native-platform evidence remain
SETUP	GCSViews/ConfigurationView/ConfigCompassLegacyView.axaml	src/ui/configuration/CompassConfig.*;src/ui/configuration/SetupView.*	partial	The useful old MAG_ENABLE, declination and first-compass orientation surface is now honestly routed as Compass (Legacy); destructive Live Calibration plus the globally owned Onboard and CompassMot dialogs are disabled with an explicit safety reason pending exact-target replacements, while remaining field writes still use the legacy active-UAS/component-1 path
SETUP	GCSViews/ConfigurationView/ConfigCompassMotView.axaml	src/ui/configuration/ConfigCompassMotView.*;src/comm/CompassCalibrationService.*;src/comm/ExactLinkTransmitter.*;src/comm/VehicleTargetManager.*;tests/test_configcompassmotview.cpp;tests/test_compasscalibrationservice.cpp;tests/test_exactlinktransmitter.cpp	in-progress	A dedicated Optional Hardware page owns the exact MP10 param6 start, initialized throttle/current/interference/XYZ values, dual-axis live plot and exact-session log. The application-owned compass service serializes it against onboard/fixed-yaw work, pins link/system/component/generation and requires a disarmed multirotor plus an operator-confirmed dedicated ordered Serial/TCP link carrying one autopilot. Listening UDP, UDP client, simulation and unknown transports are blocked; MAVLink 1 uses zero ACK targets and requires terminal text, while MAVLink 2 target extensions provide phase evidence but never shared-link isolation. Exact raw ACK/status/text filtering, the two-frame Finish ACK, lifecycle/watchdog/disconnect stop, endpoint poisoning and explicit power-removal recovery are covered. Real-X11 TCP success and physical-disconnect warning evidence pass; propeller-free hardware validation, stored-parameter reconciliation, reference screenshots and native-platform visual parity remain
SETUP	GCSViews/ConfigurationView/ConfigRadioInputView.axaml	src/ui/configuration/RadioCalibrationConfig.*	partial	Channel bars, reversal, mode channel, calibration and validation match
SETUP	GCSViews/ConfigurationView/ConfigRadioOutputView.axaml	src/ui/configuration/ConfigRadioOutputView.*;src/ui/configuration/ConfigRadioOutputViewModel.*;src/uas/ServoOutputDecoder.*;tests/test_configradiooutputview.cpp;tests/test_servooutputdecoder.cpp	in-progress	MP10 16/32 servo rows, exact SERVO_OUTPUT_RAW port mapping, function/reverse/min/trim/max parameter editing, 100 ms coalesced live PWM and Setup ordering are implemented; reference/Qt screenshot-diff and live-vehicle evidence remain
SETUP	GCSViews/ConfigurationView/ConfigESCCalibrationView.axaml	src/ui/configuration/ConfigESCCalibrationView.*;src/ui/configuration/ConfigESCCalibrationViewModel.*;tests/test_configesccalibrationview.cpp	in-progress	MP10 six-field ESC setup, guarded ESC_CALIBRATION=3 workflow, exact echo/timeout/disconnect handling and safety confirmation are implemented; reference/Qt screenshot-diff and live-vehicle evidence remain
SETUP	GCSViews/ConfigurationView/ConfigFlightModesView.axaml	src/ui/configuration/ConfigFlightModesView.*;src/ui/configuration/ConfigFlightModesViewModel.*;src/ui/configuration/ConfigFlightModesPageFactory.*;src/ui/configuration/FlightModeTelemetryMonitor.*;src/ui/configuration/SetupView.*;tests/test_configflightmodesview.cpp;tests/test_configflightmodesviewmodel.cpp;tests/test_flightmodetelemetrymonitor.cpp	in-progress	The active SETUP route shares the native CONFIG widget in MP10 order. Six exact PWM bands, Copter/Plane/Rover/PX4 prefixes and channels, both always-visible Copter Simple columns, metadata-backed/unknown-preserving ArduPilot choices, exact PX4 slot enums, separately decoded exact-link Current Mode/PWM, active-row highlighting and help are present. Edits require a fresh exact heartbeat and disarmed vehicle; one changed-only batch is terminal-ID correlated and partial results require a full refresh, while ordinary parameter refreshes preserve staged edits. Unit/full-suite and isolated exact-target production-route X11 evidence through this SETUP route pass; physical-vehicle, reference screenshot and native-platform evidence remain
SETUP	GCSViews/ConfigurationView/ConfigFailSafeView.axaml	src/ui/configuration/FailSafeConfig.*	partial	All vehicle-specific failsafes, validation and help match
SETUP	GCSViews/ConfigurationView/ConfigBatteryMonitoringView.axaml	src/ui/configuration/BatteryMonitorConfig.*;src/ui/configuration/BatteryMonitorInstanceModel.*;tests/test_batterymonitor.cpp	partial	Existing Battery Monitor UI and presets remain on the isolated BATT_* instance; voltage/current calibration now shares the finite/non-zero reference formulas and exact AMP_PERVLT/PERVOL/PERVOLT resolution with Battery Monitor 2. Unprefixed VOLT_DIVIDER/AMP_PER_VOLT migration fallbacks are intentionally not part of the fresh port; visual refresh and live hardware evidence remain
SETUP	GCSViews/ConfigurationView/ConfigBatteryMonitoring2View.axaml;GCSViews/ConfigurationView/ConfigBatteryMonitoring2.cs	src/ui/configuration/ConfigBatteryMonitoring2View.*;src/ui/configuration/ConfigBatteryMonitoring2ViewModel.*;src/ui/configuration/BatteryMonitorInstanceModel.*;src/services/SpeechAnnouncer.*;src/ui/configuration/SetupView.cpp;tests/test_batterymonitor.cpp	in-progress	ConfigBatteryMonitoring2View is routed immediately after Battery Monitor as a transport-free QWidget with strict BATT2_MONITOR/CAPACITY/VOLT_PIN/CURR_PIN/VOLT_MULT/AMP_OFFSET fields, runtime selection of the existing BATT2_AMP_PERVLT/PERVOL/PERVOLT spelling, metadata-complete Monitor/pin choices and Capacity range/increment, editable duplicate calibration rows 3/6, current BATTERY2 plus instance-aware BATTERY_STATUS id=1 live voltage/current, both reference calibration formulas and the MP10 low-battery alert setting/defaults. The app-lifetime SpeechAnnouncer consumes active-vehicle primary-battery samples, honors the MP voltage/percent predicate, phrase tokens, armed-only gate and 30-second connection/repeat cadence, and suppresses the conflicting legacy emergency loop while enabled. Snapshot replacement preserves live telemetry; exact target-generation/link/system/component guards feed a single application ParameterService batch, and ACK/failure/cancel/completion are correlated to its owned batch before the editor unlocks. Unit tests cover non-primary exact components, checked numeric conversions, alert policy/formatting, instance isolation, no legacy/cross-instance fallback, aliases, metadata editors, authoritative snapshots, batch ownership, invalid live values and telemetry decode; reference screenshot, direct audio-backend integration and live hardware evidence remain
SETUP	GCSViews/ConfigurationView/ConfigAirspeedView.axaml	src/ui/configuration/AirspeedConfig.*	partial	Sensor type, bus/pin, calibration, use and primary selection match
